pid,comm,cmdline
3241856,bpftrace,bpftrace -arg1 -arg2
1,systemd,/sbin/init splash 
2,kthreadd,
3,rcu_gp,
4,rcu_par_gp,
5,slub_flushwq,
6,netns,
8,kworker/0:0H-events_highpri,
11,mm_percpu_wq,
12,rcu_tasks_kthread,
13,rcu_tasks_rude_kthread,
14,rcu_tasks_trace_kthread,
15,ksoftirqd/0,
16,rcu_preempt,
17,migration/0,
18,idle_inject/0,
19,cpuhp/0,
20,cpuhp/1,
21,idle_inject/1,
22,migration/1,
23,ksoftirqd/1,
25,kworker/1:0H-events_highpri,
26,cpuhp/2,
27,idle_inject/2,
28,migration/2,
29,ksoftirqd/2,
31,kworker/2:0H-events_highpri,
32,cpuhp/3,
33,idle_inject/3,
34,migration/3,
35,ksoftirqd/3,
37,kworker/3:0H-events_highpri,
38,cpuhp/4,
39,idle_inject/4,
40,migration/4,
41,ksoftirqd/4,
43,kworker/4:0H-events_highpri,
44,cpuhp/5,
45,idle_inject/5,
46,migration/5,
47,ksoftirqd/5,
49,kworker/5:0H-events_highpri,
50,cpuhp/6,
51,idle_inject/6,
52,migration/6,
53,ksoftirqd/6,
55,kworker/6:0H-events_highpri,
56,cpuhp/7,
57,idle_inject/7,
58,migration/7,
59,ksoftirqd/7,
61,kworker/7:0H-events_highpri,
62,cpuhp/8,
63,idle_inject/8,
64,migration/8,
65,ksoftirqd/8,
67,kworker/8:0H-events_highpri,
68,cpuhp/9,
69,idle_inject/9,
70,migration/9,
71,ksoftirqd/9,
73,kworker/9:0H-events_highpri,
74,cpuhp/10,
75,idle_inject/10,
76,migration/10,
77,ksoftirqd/10,
79,kworker/10:0H-events_highpri,
80,cpuhp/11,
81,idle_inject/11,
82,migration/11,
83,ksoftirqd/11,
85,kworker/11:0H-events_highpri,
86,cpuhp/12,
87,idle_inject/12,
88,migration/12,
89,ksoftirqd/12,
91,kworker/12:0H-events_highpri,
92,cpuhp/13,
93,idle_inject/13,
94,migration/13,
95,ksoftirqd/13,
97,kworker/13:0H-events_highpri,
98,cpuhp/14,
99,idle_inject/14,
100,migration/14,
101,ksoftirqd/14,
103,kworker/14:0H-events_highpri,
104,cpuhp/15,
105,idle_inject/15,
106,migration/15,
107,ksoftirqd/15,
109,kworker/15:0H-events_highpri,
110,kdevtmpfs,
111,inet_frag_wq,
113,kauditd,
114,khungtaskd,
115,oom_reaper,
117,writeback,
118,kcompactd0,
119,ksmd,
